object,category,group,chat_gpt_context,conceptnet_context,conceptnet_path,fasttext_similarity_chat_gpt,word2vec_similarity_chat_gpt,glove_similarity_chat_gpt,average_similarity_chat_gpt,fasttext_similarity_conceptnet,word2vec_similarity_conceptnet,glove_similarity_conceptnet,average_similarity_conceptnet
beer,Beverages,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- fridge (AtLocation) <- beer,0.24185247719287872,0.1951320469379425,0.2881423234939575,0.24170894920825958,0.24185247719287872,0.1951320469379425,0.2881423234939575,0.24170894920825958
beer,Beverages,"['playroom', 'dining_room', 'laundry_room', 'living_room']",living_room,playroom,playroom (UsedFor) -> fun (RelatedTo) -> party (RelatedTo) -> beer,0.12566591799259186,0.12350165098905563,0.1757112592458725,0.14162627607584,0.051723651587963104,0.03607521206140518,-0.06227647513151169,0.008507462839285532
juice,Beverages,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- milk (RelatedTo) -> juice,0.20808395743370056,0.17180576920509338,0.24874508380889893,0.20954493681589761,0.20808395743370056,0.17180576920509338,0.24874508380889893,0.20954493681589761
juice,Beverages,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- glass (RelatedTo) -> drink (RelatedTo) -> juice,0.1170262023806572,0.06605186313390732,0.18740209937095642,0.12349338829517365,0.1170262023806572,0.06605186313390732,0.18740209937095642,0.12349338829517365
wine,Beverages,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- grape (RelatedTo) -> wine,0.29540061950683594,0.23625648021697998,0.2709987759590149,0.2675519585609436,0.29540061950683594,0.23625648021697998,0.2709987759590149,0.2675519585609436
wine,Beverages,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- food (IsA) <- wine,0.09412865340709686,0.2810632884502411,0.31955569982528687,0.2315825472275416,0.09412865340709686,0.2810632884502411,0.31955569982528687,0.2315825472275416
carrot,Vegetables,"['bedroom', 'kitchen', 'garden', 'office']",garden,kitchen,kitchen (AtLocation) <- sugar (RelatedTo) -> sweet (RelatedTo) -> carrot,0.2597990334033966,0.1648707240819931,0.1341933310031891,0.1862876961628596,0.1469109058380127,0.03084634430706501,0.136056587100029,0.10460461241503556
carrot,Vegetables,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- felt (RelatedTo) -> carrot,0.09997634589672089,0.04516492038965225,0.04285130277276039,0.06266418968637784,0.09997634589672089,0.04516492038965225,0.04285130277276039,0.06266418968637784
bell_pepper,Vegetables,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- potato (RelatedTo) -> ajapsandali/n (RelatedTo) -> bell_pepper,0.1539103388786316,0.19350117444992065,0.24351876974105835,0.19697676102320352,0.1539103388786316,0.19350117444992065,0.24351876974105835,0.19697676102320352
bell_pepper,Vegetables,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- salt (RelatedTo) -> pepper/n (RelatedTo) -> bell_pepper,0.5202597975730896,0.1862589567899704,0.17939136922359467,0.2953033745288849,0.5202597975730896,0.1862589567899704,0.17939136922359467,0.2953033745288849
cucumber,Vegetables,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- food (IsA) <- vegetable (IsA) <- cucumber,0.1850699931383133,0.21124188601970673,0.11921883374452591,0.17184357096751532,0.1850699931383133,0.21124188601970673,0.11921883374452591,0.17184357096751532
cucumber,Vegetables,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,playroom,playroom (AtLocation) <- ball (RelatedTo) -> apple (RelatedTo) -> fruit (RelatedTo) -> cucumber,0.07496685534715652,0.1844605803489685,0.06849419325590134,0.10930720965067546,0.08449345827102661,0.05049914866685867,0.047353655099868774,0.06078208734591802
broccoli,Vegetables,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- plate (AtLocation) <- broccoli,0.20236609876155853,0.23536992073059082,0.1215045154094696,0.18641351163387299,0.20236609876155853,0.23536992073059082,0.1215045154094696,0.18641351163387299
broccoli,Vegetables,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- plate (AtLocation) <- broccoli,0.07023090124130249,0.21663139760494232,-0.02753714844584465,0.08644171680013339,0.07023090124130249,0.21663139760494232,-0.02753714844584465,0.08644171680013339
pretzel,Snacks,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- food (RelatedTo) -> bread (RelatedTo) -> pretzel,0.11139694601297379,0.17751963436603546,0.04238944128155708,0.11043534055352211,0.11139694601297379,0.17751963436603546,0.04238944128155708,0.11043534055352211
pretzel,Snacks,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- food (RelatedTo) -> bread (RelatedTo) -> pretzel,0.09240860491991043,0.18029384315013885,0.019691189751029015,0.09746454594035943,0.09240860491991043,0.18029384315013885,0.019691189751029015,0.09746454594035943
popcorn,Snacks,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- pantry (AtLocation) <- jar (AtLocation) <- popcorn,0.28176257014274597,0.24335500597953796,0.20775628089904785,0.24429128567377725,0.28176257014274597,0.24335500597953796,0.20775628089904785,0.24429128567377725
popcorn,Snacks,"['playroom', 'dining_room', 'laundry_room', 'living_room']",living_room,living_room,living_room (AtLocation) <- television (AtLocation) <- show (AtLocation) <- popcorn,0.08028454333543777,0.11974573880434036,0.07165694981813431,0.09056241065263748,0.08028454333543777,0.11974573880434036,0.07165694981813431,0.09056241065263748
muffin,Snacks,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- plate (RelatedTo) -> muffin,0.24934984743595123,0.28713458776474,0.1812349110841751,0.23923978209495544,0.24934984743595123,0.28713458776474,0.1812349110841751,0.23923978209495544
muffin,Snacks,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- plate (RelatedTo) -> muffin,0.0549413301050663,0.24737752974033356,0.024386677891016006,0.10890184591213863,0.0549413301050663,0.24737752974033356,0.024386677891016006,0.10890184591213863
chocolate,Snacks,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- food (IsA) <- chocolate,0.23118799924850464,0.2810567319393158,0.2788292467594147,0.2636913259824117,0.23118799924850464,0.2810567319393158,0.2788292467594147,0.2636913259824117
chocolate,Snacks,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- food (IsA) <- chocolate,0.16433526575565338,0.23133844137191772,0.25256505608558655,0.2160795877377192,0.16433526575565338,0.23133844137191772,0.25256505608558655,0.2160795877377192
pen,Office Supplies,"['bedroom', 'kitchen', 'garden', 'office']",office,office,office (AtLocation) <- pen,0.16272668540477753,0.07157278805971146,0.10231251269578934,0.11220399538675944,0.16272668540477753,0.07157278805971146,0.10231251269578934,0.11220399538675944
pen,Office Supplies,"['playroom', 'dining_room', 'laundry_room', 'living_room']",living_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- pen,0.10651776194572449,0.13800117373466492,0.14739736914634705,0.13063876827557883,0.09529601782560349,0.13245181739330292,0.13118597865104675,0.11964460462331772
adhesive_tape,Office Supplies,"['bedroom', 'kitchen', 'garden', 'office']",office,office,office (AtLocation) <- record (RelatedTo) -> tape (RelatedTo) -> adhesive_tape,0.07551103085279465,0.04563006013631821,0.09861012548208237,0.07325040549039841,0.07551103085279465,0.04563006013631821,0.09861012548208237,0.07325040549039841
adhesive_tape,Office Supplies,"['playroom', 'dining_room', 'laundry_room', 'living_room']",laundry_room,dining_room,dining_room (AtLocation) <- glass (RelatedTo) -> transparent (RelatedTo) -> scotch_tape/n (RelatedTo) -> adhesive_tape,0.561420738697052,0.1628987044095993,0.175983265042305,0.3001009027163188,0.504062294960022,0.06372770667076111,0.057654161006212234,0.20848138754566511
stapler,Office Supplies,"['bedroom', 'kitchen', 'garden', 'office']",office,bedroom,bedroom (AtLocation) <- desk (AtLocation) <- stapler,0.3065193295478821,0.15529626607894897,-0.0018909556092694402,0.1533082133391872,0.164739191532135,0.13557276129722595,0.03198641911149025,0.11076612398028374
stapler,Office Supplies,"['playroom', 'dining_room', 'laundry_room', 'living_room']",living_room,dining_room,dining_room (AtLocation) <- table (RelatedTo) -> desk (AtLocation) <- stapler,0.03640873730182648,0.08261565119028091,-0.1246238425374031,-0.0018664846817652385,0.015442675910890102,0.1571846604347229,-0.07311655580997467,0.03317026017854611
scissors,Office Supplies,"['bedroom', 'kitchen', 'garden', 'office']",office,garden,garden (AtLocation) <- lizard (RelatedTo) -> scissors,0.12320130318403244,0.09500148147344589,-0.04371809586882591,0.058161562929550804,0.21758557856082916,0.11855752766132355,0.03504762053489685,0.12373024225234985
scissors,Office Supplies,"['playroom', 'dining_room', 'laundry_room', 'living_room']",playroom,dining_room,dining_room (AtLocation) <- table (RelatedTo) -> desk (AtLocation) <- scissors,0.2234077751636505,0.13428226113319397,0.0686449185013771,0.1421116515994072,0.03442450612783432,0.17099067568778992,0.10486987978219986,0.10342835386594136
ball,Toys,"['bedroom', 'kitchen', 'garden', 'office']",garden,bedroom,bedroom (AtLocation) <- closet (AtLocation) <- ball,0.19373944401741028,0.1455361247062683,0.16259765625,0.1672910749912262,0.07622914761304855,0.07152438908815384,0.07959085702896118,0.07578146457672119
ball,Toys,"['playroom', 'dining_room', 'laundry_room', 'living_room']",playroom,playroom,playroom (AtLocation) <- ball,0.18320859968662262,0.10718508809804916,-0.01871541514992714,0.09055942421158154,0.18320859968662262,0.10718508809804916,-0.01871541514992714,0.09055942421158154
dice,Toys,"['bedroom', 'kitchen', 'garden', 'office']",office,kitchen,kitchen (AtLocation) <- knife (RelatedTo) -> cut (RelatedTo) -> dice,0.007487953174859285,-0.08261003345251083,-0.09241800755262375,-0.0558466959434251,0.14747339487075806,0.0783654972910881,0.07329558581113815,0.09971149265766144
dice,Toys,"['playroom', 'dining_room', 'laundry_room', 'living_room']",playroom,playroom,playroom (UsedFor) -> fun (RelatedTo) -> game (IsA) <- dice,0.13209842145442963,0.11506814509630203,0.008647751994431019,0.08527143951505423,0.13209842145442963,0.11506814509630203,0.008647751994431019,0.08527143951505423
teddy_bear,Toys,"['bedroom', 'kitchen', 'garden', 'office']",bedroom,bedroom,bedroom (AtLocation) <- shelf (AtLocation) <- teddy_bear,0.1570873260498047,0.23502296209335327,0.14896301925182343,0.18035776913166046,0.1570873260498047,0.23502296209335327,0.14896301925182343,0.18035776913166046
teddy_bear,Toys,"['playroom', 'dining_room', 'laundry_room', 'living_room']",playroom,dining_room,dining_room (AtLocation) <- table (RelatedTo) -> bed (AtLocation) <- teddy_bear,0.14514146745204926,0.36378440260887146,-0.034312911331653595,0.15820431957642236,0.4792158007621765,0.21247023344039917,0.14467035233974457,0.27878546218077344
toy,Toys,"['bedroom', 'kitchen', 'garden', 'office']",bedroom,kitchen,kitchen (AtLocation) <- table (AtLocation) <- toy,0.2579779326915741,0.15689319372177124,0.15176555514335632,0.1888788938522339,0.2215406596660614,0.15718203783035278,0.22635747492313385,0.20169339080651602
toy,Toys,"['playroom', 'dining_room', 'laundry_room', 'living_room']",playroom,playroom,playroom (UsedFor) -> children (RelatedTo) -> toy,0.4385039508342743,0.3376902937889099,0.173728346824646,0.3166408638159434,0.4385039508342743,0.3376902937889099,0.173728346824646,0.3166408638159434
bowl,Kitchenware,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- plate (RelatedTo) -> bowl,0.3227975368499756,0.19589334726333618,0.19165079295635223,0.23678055902322134,0.3227975368499756,0.19589334726333618,0.19165079295635223,0.23678055902322134
bowl,Kitchenware,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- bowl,0.0941244512796402,0.18505635857582092,0.23308421671390533,0.17075500885645548,0.0941244512796402,0.18505635857582092,0.23308421671390533,0.17075500885645548
knife,Kitchenware,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- knife,0.3870159685611725,0.31887397170066833,0.43859973549842834,0.3814965585867564,0.3870159685611725,0.31887397170066833,0.43859973549842834,0.3814965585867564
knife,Kitchenware,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- knife,0.057326026260852814,0.1516372114419937,0.23229654133319855,0.14708659301201502,0.057326026260852814,0.1516372114419937,0.23229654133319855,0.14708659301201502
spoon,Kitchenware,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- plate (RelatedTo) -> spoon,0.3328370153903961,0.35718995332717896,0.3012671172618866,0.33043136199315387,0.3328370153903961,0.35718995332717896,0.3012671172618866,0.33043136199315387
spoon,Kitchenware,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- spoon,0.0731743574142456,0.2786007523536682,0.1540290117263794,0.16860137383143106,0.0731743574142456,0.2786007523536682,0.1540290117263794,0.16860137383143106
mug,Kitchenware,"['bedroom', 'kitchen', 'garden', 'office']",kitchen,kitchen,kitchen (AtLocation) <- cup (RelatedTo) -> mug,0.24718834459781647,0.16068574786186218,0.15227334201335907,0.18671581149101257,0.24718834459781647,0.16068574786186218,0.15227334201335907,0.18671581149101257
mug,Kitchenware,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- cup (RelatedTo) -> mug,0.07880385220050812,0.16666924953460693,0.1260114461183548,0.12382818261782329,0.07880385220050812,0.16666924953460693,0.1260114461183548,0.12382818261782329
glove,Clothing,"['bedroom', 'kitchen', 'garden', 'office']",garden,bedroom,bedroom (AtLocation) <- condom (RelatedTo) -> glove,0.11278178542852402,0.08763832598924637,0.09307032823562622,0.0978301465511322,0.14440983533859253,0.13578876852989197,0.2606220543384552,0.18027355273564658
glove,Clothing,"['playroom', 'dining_room', 'laundry_room', 'living_room']",laundry_room,living_room,living_room (AtLocation) <- human (RelatedTo) -> hand (RelatedTo) -> glove,0.07531765103340149,0.1234361007809639,0.21221573650836945,0.13698982944091162,0.011717300862073898,0.09044535458087921,0.14117364585399628,0.08111210043231647
belt,Clothing,"['bedroom', 'kitchen', 'garden', 'office']",bedroom,bedroom,bedroom (AtLocation) <- closet (AtLocation) <- belt,0.13356105983257294,0.05219465121626854,0.0901263877749443,0.09196069960792859,0.13356105983257294,0.05219465121626854,0.0901263877749443,0.09196069960792859
belt,Clothing,"['playroom', 'dining_room', 'laundry_room', 'living_room']",laundry_room,living_room,living_room (AtLocation) <- glass_fronted_display_cabinet (UsedFor) -> trophy (RelatedTo) -> belt,0.09101075679063797,0.031885817646980286,0.06905665993690491,0.06398441145817439,0.06634921580553055,0.1049601212143898,0.14626222848892212,0.1058571885029475
sock,Clothing,"['bedroom', 'kitchen', 'garden', 'office']",bedroom,office,office (AtLocation) <- feet (RelatedTo) -> sock,0.16074378788471222,0.2169964611530304,0.2538839280605316,0.2105413923660914,0.09600245952606201,0.02873251400887966,0.0036348188295960426,0.04278993078817924
sock,Clothing,"['playroom', 'dining_room', 'laundry_room', 'living_room']",laundry_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- foot (RelatedTo) -> sock,0.11796730756759644,0.2741702198982239,0.2324034422636032,0.20818032324314117,0.07098151743412018,0.10051968693733215,0.07858262211084366,0.08336127549409866
tie,Clothing,"['bedroom', 'kitchen', 'garden', 'office']",office,office,office (AtLocation) <- cord (UsedFor) -> tie,0.09995018690824509,0.026644298806786537,0.11516986787319183,0.08058811786274116,0.09995018690824509,0.026644298806786537,0.11516986787319183,0.08058811786274116
tie,Clothing,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- note (RelatedTo) -> tie,0.08520373702049255,0.03424687311053276,0.14514021575450897,0.08819694196184476,0.08520373702049255,0.03424687311053276,0.14514021575450897,0.08819694196184476
computer_mouse,Personal Items,"['bedroom', 'kitchen', 'garden', 'office']",office,office,office (AtLocation) <- computer (RelatedTo) -> desktop (AtLocation) <- computer_mouse,0.1604689359664917,0.1449132114648819,0.20928029716014862,0.17155414819717407,0.1604689359664917,0.1449132114648819,0.20928029716014862,0.17155414819717407
computer_mouse,Personal Items,"['playroom', 'dining_room', 'laundry_room', 'living_room']",living_room,dining_room,dining_room (AtLocation) <- table (RelatedTo) -> desk (AtLocation) <- mouse_pad (AtLocation) <- computer_mouse,0.5348466634750366,0.23286254703998566,0.30872470140457153,0.35881130397319794,0.6153621673583984,0.19635333120822906,0.237851083278656,0.34985552728176117
coin,Personal Items,"['bedroom', 'kitchen', 'garden', 'office']",office,office,office (AtLocation) <- money (RelatedTo) -> coin,0.10659267008304596,0.05644137039780617,0.091262586414814,0.08476554229855537,0.10659267008304596,0.05644137039780617,0.091262586414814,0.08476554229855537
coin,Personal Items,"['playroom', 'dining_room', 'laundry_room', 'living_room']",living_room,laundry_room,laundry_room (AtLocation) <- iron (RelatedTo) -> metal (RelatedTo) -> coin,0.041862912476062775,0.06503669172525406,0.08662118017673492,0.06450692812601726,0.16986706852912903,0.068775974214077,0.23987574875354767,0.15950626383225122
calculator,Personal Items,"['bedroom', 'kitchen', 'garden', 'office']",office,office,office (AtLocation) <- calculator,0.20572927594184875,0.13989600539207458,0.00533978221938014,0.11698835451776783,0.20572927594184875,0.13989600539207458,0.00533978221938014,0.11698835451776783
calculator,Personal Items,"['playroom', 'dining_room', 'laundry_room', 'living_room']",living_room,dining_room,dining_room (AtLocation) <- table (RelatedTo) -> calculator,0.016830502077937126,0.1365295797586441,0.06877588480710983,0.07404532221456368,0.03943713381886482,0.07942178845405579,0.07830869406461716,0.06572253877917926
mobile_phone,Personal Items,"['bedroom', 'kitchen', 'garden', 'office']",office,office,office (AtLocation) <- telephone (IsA) <- mobile_phone,0.15188513696193695,0.26261138916015625,0.3349599540233612,0.24981882671515146,0.15188513696193695,0.26261138916015625,0.3349599540233612,0.24981882671515146
mobile_phone,Personal Items,"['playroom', 'dining_room', 'laundry_room', 'living_room']",living_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- computer (IsA) <- mobile_phone,0.5159122943878174,0.16879475116729736,0.32451382279396057,0.33640695611635846,0.5822849869728088,0.06985075026750565,0.2697713077068329,0.3073023483157158
remote_control,Personal Items,"['bedroom', 'kitchen', 'garden', 'office']",bedroom,bedroom,bedroom (AtLocation) <- television (AtLocation) <- remote_control,0.137264683842659,0.07733847945928574,0.16462697088718414,0.12641004472970963,0.137264683842659,0.07733847945928574,0.16462697088718414,0.12641004472970963
remote_control,Personal Items,"['playroom', 'dining_room', 'laundry_room', 'living_room']",living_room,living_room,living_room (AtLocation) <- television (AtLocation) <- remote_control,0.40706878900527954,0.21108657121658325,0.34903788566589355,0.32239774862925213,0.40706878900527954,0.21108657121658325,0.34903788566589355,0.32239774862925213
toothpaste,Personal Items,"['bedroom', 'kitchen', 'garden', 'office']",bedroom,kitchen,kitchen (AtLocation) <- sink (AtLocation) <- toothpaste,0.16820986568927765,0.08118829131126404,0.013408553786575794,0.08760223692903917,0.280121773481369,0.17420163750648499,0.14373859763145447,0.19935400287310281
toothpaste,Personal Items,"['playroom', 'dining_room', 'laundry_room', 'living_room']",bathroom,laundry_room,laundry_room (AtLocation) <- sink (AtLocation) <- toothpaste,0.37910446524620056,0.2435106635093689,0.194305881857872,0.27230700353781384,0.07194683700799942,0.21237289905548096,0.18890047073364258,0.15774006893237433
aerosol_can,Personal Items,"['bedroom', 'kitchen', 'garden', 'office']",garden,office,office (AtLocation) <- water_cooler (AtLocation) <- button (RelatedTo) -> aerosol_can,0.07431388646364212,0.14097006618976593,0.09180010110139847,0.10236135125160217,0.015878012403845787,0.1266508400440216,0.15323404967784882,0.0985876340419054
aerosol_can,Personal Items,"['playroom', 'dining_room', 'laundry_room', 'living_room']",laundry_room,laundry_room,laundry_room (AtLocation) <- iron (RelatedTo) -> press (RelatedTo) -> button (RelatedTo) -> aerosol_can,0.3613531291484833,0.17480070888996124,0.19526535272598267,0.24380639692147574,0.3613531291484833,0.17480070888996124,0.19526535272598267,0.24380639692147574
box,Miscellaneous,"['bedroom', 'kitchen', 'garden', 'office']",office,kitchen,kitchen (AtLocation) <- container (RelatedTo) -> box,0.43375611305236816,0.3583413362503052,0.3494033217430115,0.38050025701522827,0.20933079719543457,0.196496844291687,0.28213000297546387,0.22931921482086182
box,Miscellaneous,"['playroom', 'dining_room', 'laundry_room', 'living_room']",playroom,living_room,living_room (AtLocation) <- television (RelatedTo) -> box,0.2619088292121887,0.21362075209617615,0.08856142312288284,0.1880303348104159,0.09214604645967484,0.144767627120018,0.3408586084842682,0.192590760687987
boot,Miscellaneous,"['bedroom', 'kitchen', 'garden', 'office']",garden,kitchen,kitchen (AtLocation) <- cover (RelatedTo) -> boot,0.07858198136091232,0.09621469676494598,0.013295567594468594,0.06269741524010897,0.09465401619672775,0.10685253143310547,0.14025314152240753,0.11391989638408025
boot,Miscellaneous,"['playroom', 'dining_room', 'laundry_room', 'living_room']",laundry_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- foot (AtLocation) <- boot,0.09999407827854156,0.20962399244308472,0.18852044641971588,0.1660461723804474,0.09752689301967621,0.09050542861223221,0.14753220975399017,0.11185484379529953
towel,Miscellaneous,"['bedroom', 'kitchen', 'garden', 'office']",bathroom,bedroom,bedroom (AtLocation) <- closet (AtLocation) <- towel,0.4592403173446655,0.39369428157806396,0.34899434447288513,0.4006429811318715,0.26436465978622437,0.19837361574172974,0.17115667462348938,0.21129831671714783
towel,Miscellaneous,"['playroom', 'dining_room', 'laundry_room', 'living_room']",laundry_room,dining_room,dining_room (AtLocation) <- table (RelatedTo) -> napkin (RelatedTo) -> towel,0.11706885695457458,0.3609086871147156,0.387196809053421,0.28839145104090375,0.038983479142189026,0.20896704494953156,0.22686617076396942,0.15827223161856332
flower,Miscellaneous,"['bedroom', 'kitchen', 'garden', 'office']",garden,garden,garden (AtLocation) <- plant (RelatedTo) -> flower,0.5510420203208923,0.5949039459228516,0.46284905076026917,0.5362650056680044,0.5510420203208923,0.5949039459228516,0.46284905076026917,0.5362650056680044
flower,Miscellaneous,"['playroom', 'dining_room', 'laundry_room', 'living_room']",living_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- plant (RelatedTo) -> flower,0.09248832613229752,0.13215872645378113,0.17225663363933563,0.13230122874180475,0.07124047726392746,0.21737128496170044,0.18024499714374542,0.15628558645645776
candle,Miscellaneous,"['bedroom', 'kitchen', 'garden', 'office']",bedroom,kitchen,kitchen (AtLocation) <- candle,0.2015591859817505,0.24761727452278137,0.18307942152023315,0.21075196067492166,0.20299850404262543,0.2888857126235962,0.25159427523612976,0.24782616396745047
candle,Miscellaneous,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,dining_room,dining_room (AtLocation) <- table (AtLocation) <- candle,0.05598817393183708,0.24359537661075592,0.20714139938354492,0.16890831664204597,0.05598817393183708,0.24359537661075592,0.20714139938354492,0.16890831664204597
bell,Miscellaneous,"['bedroom', 'kitchen', 'garden', 'office']",garden,office,office (AtLocation) <- telephone (RelatedTo) -> bell,0.1620362102985382,0.0921601802110672,0.17767959833145142,0.14395866294701895,0.12313243001699448,0.04659252613782883,0.16161011159420013,0.11044502258300781
bell,Miscellaneous,"['playroom', 'dining_room', 'laundry_room', 'living_room']",dining_room,laundry_room,laundry_room (AtLocation) <- iron (RelatedTo) -> metal (RelatedTo) -> bell,0.103007972240448,0.14145362377166748,0.20009315013885498,0.14818491538365683,0.16179221868515015,0.12620723247528076,0.12949331104755402,0.1391642540693283
